ACSSF,2014e1,ca,000,0077,0000001,12758648,756518,653293,580490,607361,560566,578127,532267,520927,474230,904003,1206668,1541329,1155255,752039,899240,1036335,8501057,442367,400018,375934,396210,369207,369648,345050,344502,314389,596575,810904,1047204,789963,518199,624965,755922,816165,95705,78342,46252,48673,40920,44694,32876,33286,28044,66836,73636,81900,55763,31272,34012,23954,90487,8693,7690,4598,6138,3592,4625,5193,3882,4564,6365,8986,9727,6050,4984,3048,2352,1686190,106929,71925,58976,53040,52138,59423,55115,54992,51735,92204,144787,202603,178068,128501,171334,204420,41366,2809,1742,1649,1351,1033,1999,1771,2393,2002,4291,4590,5556,4026,1873,2769,1512,1230432,72732,69442,74142,85387,75911,80611,75428,67395,60624,109211,127492,144681,85232,42464,36880,22800,392951,27283,24134,18939,16562,17765,17127,16834,14477,12872,28521,36273,49658,36153,24746,26232,25375,6269578,315105,270937,242378,251031,234198,236082,219194,223343,209773,412460,581476,781711,630425,424584,539671,697210,3642265,210504,209557,217164,239771,218768,224311,210973,196821,173539,307415,374853,431808,260194,146580,131022,88985,61933,65070,42509,45956,80080,58537,46015,60587,73017,47434,61933,33651,69730,73578,82007,70929,70107,76093,1130354968000,791352046600,48865840500,5513403000,176103663000,3081739400,72524864100,32913411400,650002818000,227185903400
ACSSF,2014e1,ca,000,0077,0000002,12101308,718076,618945,547865,573679,531380,546025,502045,492539,450163,856955,1140836,1466293,1096718,714607,859912,985270,7924116,410946,371223,347331,367331,343081,341553,320172,320419,293145,555925,751220,980126,737407,485442,589708,709087,809411,95091,77473,46046,48444,40873,44495,32491,32931,27657,66596,73164,81353,55102,30424,33355,23916,77288,6724,6216,3937,5295,3234,4127,4455,3428,3912,5468,7918,8130,5191,4589,2608,2056,1668579,105930,71202,58699,52406,51902,58956,54244,53988,51196,91514,143097,200959,176101,127319,169427,201639,40354,2630,1742,1649,1351,1003,1999,1570,2330,2002,4291,4512,5514,3961,1519,2769,1512,1204611,70955,68177,72284,83626,74515,78406,73232,65497,59543,106608,125842,141990,83695,41700,36173,22368,376949,25800,22912,17919,15226,16772,16489,15881,13946,12708,26553,35083,48221,35261,23614,25872,24692,5769291,287952,245905,218079,228887,212789,212852,199325,203803,191883,379039,529411,722307,581764,394465,507642,653188,3535294,204379,204248,210713,230771,212506,217071,203010,190011,168934,297039,365244,421187,254772,142919,126952,85538,62044,65385,42414,46566,80064,58402,46139,61325,74106,47541,62044,34165,69804,73707,82132,70928,70482,76241,1072830553500,739698074800,48388028100,4768893800,174027316900,3004739400,71065961800,31877538700,603160974000,220643602300
ACSSF,2014e1,ca,000,0077,0000003,657340,38442,34348,32625,33682,29186,32102,30222,28388,24067,47048,65832,75036,58537,37432,39328,51065,576941,31421,28795,28603,28879,26126,28095,24878,24083,21244,40650,59684,67078,52556,32757,35257,46835,6754,614,869,206,229,47,199,385,355,387,240,472,547,661,848,657,38,13199,1969,1474,661,843,358,498,738,454,652,897,1068,1597,859,395,440,296,17611,999,723,277,634,236,467,871,1004,539,690,1690,1644,1967,1182,1907,2781,,,,,,,,,,,,,,,,,,25821,1777,1265,1858,1761,1396,2205,2196,1898,1081,2603,1650,2691,1537,764,707,432,16002,1483,1222,1020,1336,993,638,953,531,164,1968,1190,1437,892,1132,360,683,500287,27153,25032,24299,22144,21409,23230,19869,19540,17890,33421,52065,59404,48661,30119,32029,44022,106971,6125,5309,6451,9000,6262,7240,7963,6810,4605,10376,9609,10621,5422,3661,4070,3447,59670,61226,51720,40425,82845,,40988,42946,64099,43467,59670,27294,68746,71391,78385,70958,61845,69007,57524414500,51653971800,477812400,744509200,2076346100,77000000,1458902300,1035872600,46841844000,6542301100
ACSSF,2014e1,ca,000,0077,0000004,12651717,749520,646415,573690,600495,554646,572040,526771,515849,470241,895612,1195246,1528365,1147494,747039,895231,1033063,8404145,436080,394486,369891,390196,363722,364027,340182,339595,310700,588719,800358,1035892,782807,513454,621126,752910,815332,95650,78316,46214,48647,40920,44694,32876,33286,28044,66711,73636,81720,55612,31272,34012,23722,86930,8514,7112,4276,5834,3490,4494,4881,3840,4401,6221,8704,9052,5940,4802,3017,2352,1685140,106857,71925,58809,52882,51984,59423,55106,54992,51735,92154,144692,202415,178068,128460,171246,204392,40879,2630,1704,1649,1351,1033,1999,1570,2393,1973,4291,4590,5556,3986,1873,2769,1512,1228804,72553,69163,74142,85174,75911,80517,75322,67381,60612,109142,127183,144400,85160,42464,36880,22800,390487,27236,23709,18709,16411,17586,16886,16834,14362,12776,28374,36083,49330,35921,24714,26181,25375,6182939,309331,265710,237370,245601,229211,230855,215286,219201,206452,406173,572397,771422,623404,419978,536163,694385,3629555,209812,208746,215969,238974,218237,223751,209794,196042,173040,305777,373077,430450,259956,146441,130691,88798,62030,65276,42472,46232,80100,59371,46020,60707,73487,47444,62030,33807,69953,73671,82132,70994,70107,76036,1123198338300,784985644600,48531541000,5334399400,176039106100,3067079100,72448908900,32791659300,644199538200,226519813500
ACSSF,2014e1,ca,000,0077,0000005,12432946,732502,629025,560090,587117,540585,559368,516266,504716,459159,878371,1174241,1504665,1133263,739591,887329,1026658,8210016,422245,379905,357976,378083,351440,353334,330636,329701,301281,573405,781580,1014238,769259,506111,613840,746982,813543,95359,78024,46214,48629,40789,44472,32876,33211,27784,66526,73537,81687,55580,31272,33907,23676,80016,7028,6601,3719,5321,3292,4195,4646,3694,3850,5588,7790,8606,5810,4756,2875,2245,1682352,106578,71585,58698,52800,51872,59423,54950,54783,51445,91880,144396,202055,177975,128455,171097,204360,40802,2630,1653,1649,1351,1033,1999,1570,2367,1973,4291,4590,5556,3986,1873,2769,1512,1222487,72205,68347,73666,84809,75312,79787,75104,66874,60284,108545,126712,143857,84887,42464,36880,22754,383730,26457,22910,18168,16124,16847,16158,16484,14086,12542,28136,35636,48666,35766,24660,25961,25129,6001107,296668,251661,226235,234659,217998,221063,205984,210027,197776,392077,554298,751259,610629,412936,529295,688542,3609346,208039,207419,214739,237433,216497,222040,209259,194715,171763,303740,371628,428302,259035,146095,130121,88521,62329,65832,42484,47028,80159,59529,46085,61199,74733,47488,62329,34317,70308,74094,82375,71119,70321,76011,1109852316700,772796410000,48451283300,5020990800,175884791100,3065257100,72184529200,32449055200,632641216500,225509663000
ACSSF,2014e1,ca,000,0077,0000006,5996684,381451,334438,282066,287516,263182,266223,236504,240962,216345,407919,549207,703044,534214,349354,431810,512449,3730117,201948,179903,165882,171361,158380,152906,140257,150687,133273,253575,348596,450372,349866,228324,288111,356676,471933,57865,55683,28946,30225,24070,26639,20194,19052,15853,36561,40006,41894,28488,17079,17298,12080,37006,3185,3452,2163,2270,1875,2451,2027,1886,1477,2706,3664,3794,1843,2226,1438,549,965908,66558,46559,34729,31674,33521,34513,29902,28787,31042,51272,81510,113559,97488,71585,94751,118458,22783,1495,1094,1089,565,651,1075,826,1058,1319,2422,2216,3576,2054,564,1741,1038,581136,36680,35964,40579,44259,36076,40184,36111,32195,27647,49987,56221,64684,36937,17393,14891,11328,187801,13720,11783,8678,7162,8609,8455,7187,7297,5734,11396,16994,25165,17538,12183,13580,12320,2715378,140407,116214,103635,105121,92443,92893,86457,94849,87015,170206,245584,331686,279240,188043,251900,329685,1684602,103477,105686,108135,115049,105931,105649,94134,92051,77482,139598,168472,194490,115205,62667,55056,41520,61592,66263,37875,42805,77359,59080,42898,62386,76263,45692,61592,35753,70975,74745,82456,69905,66097,76033,532644133600,355022648200,26073824500,2123550500,98981045300,1677083200,32840604500,15925377400,291982204800,102097377700
ACSSF,2014e1,ca,000,0077,0000007,6436262,351051,294587,278024,299601,277403,293145,279762,263754,242814,470452,625034,801621,599049,390237,455519,514209,4479899,220297,200002,192094,206722,193060,200428,190379,179014,168008,319830,432984,563866,419393,277787,325729,390306,341610,37494,22341,17268,18404,16719,17833,12682,14159,11931,29965,33531,39793,27092,14193,16609,11596,43010,3843,3149,1556,3051,1417,1744,2619,1808,2373,2882,4126,4812,3967,2530,1437,1696,716444,40020,25026,23969,21126,18351,24910,25048,25996,20403,40608,62886,88496,80487,56870,76346,85902,18019,1135,559,560,786,382,924,744,1309,654,1869,2374,1980,1932,1309,1028,474,641351,35525,32383,33087,40550,39236,39603,38993,34679,32637,58558,70491,79173,47950,25071,21989,11426,195929,12737,11127,9490,8962,8238,7703,9297,6789,6808,16740,18642,23501,18228,12477,12381,12809,3285729,156261,135447,122600,129538,125555,128170,119527,115178,110761,221871,308714,419573,331389,224893,277395,358857,1924744,104562,101733,106604,122384,110566,116391,115125,102664,94281,164142,203156,233812,143830,83428,75065,47001,63319,65503,50517,49900,82320,60368,48945,60044,73092,49311,63319,32662,69648,73618,82315,71943,73310,75992,577208183100,417773761800,22377458800,2897440300,76903745700,1388173900,39343924600,16523677800,340659011700,123412285400
ACSSF,2014e1,ca,000,0077,0000008,218771,17018,17390,13600,13378,14061,12672,10505,11133,11082,17241,21005,23700,14231,7448,7902,6405,194129,13835,14581,11915,12113,12282,10693,9546,9894,9419,15314,18778,21654,13548,7343,7286,5928,,,,,,,,,,,,,,,,,,6914,1486,511,557,513,198,299,235,146,551,633,914,446,130,46,142,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6317,348,816,476,365,599,730,218,507,328,597,471,543,273,0,0,46,6757,779,799,541,287,739,728,350,276,234,238,447,664,155,54,220,246,181832,12663,14049,11135,10942,11213,9792,9302,9174,8676,14096,18099,20163,12775,7042,6868,5843,20209,1773,1327,1230,1541,1740,1711,535,1327,1277,2037,1449,2148,921,346,570,277,44828,46168,33164,32025,47169,.,33811,30994,46594,41247,44828,22236,54660,56625,65006,55982,52908,83293,13346021600,12189234700,80257700,313408600,154315000,,264379700,342604000,11558321700,1010150500
ACSSF,2014e1,ca,000,0077,0000009,56766,5251,6320,4086,4027,3693,3897,2252,2538,3229,3163,5141,5030,3397,1975,1321,1446,48956,4348,5151,3616,3697,3344,2886,1773,2286,2438,2797,4130,4647,3343,1975,1149,1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45366,4005,4978,3366,3293,3026,2629,1702,2098,2245,2735,3949,4202,2898,1715,1149,1376,6492,781,799,406,677,454,720,197,288,442,196,322,505,445,260,0,0,37178,38765,48099,50182,47008,.,16821,31088,38842,30689,37178,20756,45600,37292,70413,51146,46522,67293,3061598800,2746848500,45780200,85913700,50690200,,51205500,81160600,2557641900,267417500
ACSSF,2014e1,ca,000,0077,0000010,162005,11767,11070,9514,9351,10368,8775,8253,8595,7853,14078,15864,18670,10834,5473,6581,4959,145173,9487,9430,8299,8416,8938,7807,7773,7608,6981,12517,14648,17007,10205,5368,6137,4552,,,,,,,,,,,,,,,,,,5412,1482,468,551,456,193,105,120,146,228,526,416,340,130,46,142,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4625,571,453,398,287,521,381,168,199,80,238,278,430,101,54,220,246,136466,8658,9071,7769,7649,8187,7163,7600,7076,6431,11361,14150,15961,9877,5327,5719,4467,13717,992,528,824,864,1286,991,338,1039,835,1841,1127,1643,476,86,570,277,47281,48492,26622,23451,47230,.,48520,30859,48990,44987,47281,22893,56387,59647,62983,56834,54084,96343,10284422900,9442386100,34477500,227494900,103624800,,213174100,261443400,9000679800,742733100
