ACSSF,2014e1,or,000,0077,0000001,1535511,111366,82996,87988,79849,80721,82297,79486,76966,68451,126296,158502,190147,122320,64328,64972,58826,1358304,91618,72858,74576,70366,68491,71898,71481,69411,60280,112381,142942,169809,111385,58440,58717,53651,23615,5532,1475,1616,1417,1485,1108,1076,1155,1082,1863,892,2381,646,512,701,674,15920,1542,921,1433,1153,1358,748,467,800,846,1786,1810,1433,256,651,497,219,52198,4991,1374,1994,1984,2426,2396,1574,1220,1708,3583,5101,7093,6974,2848,3420,3512,,,,,,,,,,,,,,,,,,35586,1870,1572,4421,1946,3374,3278,2529,2659,1835,3480,2874,3909,974,439,335,91,45118,4771,3994,3748,2983,3089,2607,1924,1721,2663,3101,4559,5016,1722,1314,1227,679,1280342,86395,68200,68988,64355,62444,65999,66579,64675,54516,105988,137247,161682,107191,56809,57290,51984,123270,8099,6230,10859,8607,10005,10158,7991,7724,8481,10383,10266,12933,5207,2221,1944,2162,51075,51919,30892,41480,67748,26987,37623,37469,52915,39780,51075,26424,59000,67053,74758,60516,57334,73343,106272784500,95503587100,1141575300,822117800,4635942900,199969100,1604714500,2364877700,91356291300,6342079700
ACSSF,2014e1,or,000,0077,0000002,1249161,96331,67944,72887,65206,66561,68017,64956,61447,54583,101629,126723,149864,99211,52792,53350,47660,1086577,77452,59001,60461,56545,55080,58463,57428,55182,47061,88959,112208,131639,89276,47682,47318,42822,23040,5457,1475,1609,1395,1474,1108,1076,913,1082,1791,870,2338,646,512,701,593,11716,1176,471,1271,945,1162,501,279,566,647,1204,1271,1148,29,422,443,181,50685,4961,1354,1889,1975,2426,2193,1524,1200,1655,3569,5083,6786,6739,2624,3344,3363,,,,,,,,,,,,,,,,,,32304,1819,1532,4118,1592,3167,2993,2442,2145,1781,3296,2689,3410,579,392,258,91,40188,4440,3358,3339,2754,2754,2497,1772,1441,2320,2762,4278,4037,1579,1036,1211,610,1016567,72548,54641,55655,50635,49912,53207,52826,51051,41696,82992,106880,124800,85450,46513,46295,41466,111623,7729,5892,9681,8094,8919,9230,7565,6584,8082,9643,9635,11121,4399,1712,1486,1851,50491,51380,30347,40326,66856,27019,36911,36906,52364,39041,50491,26798,58997,65983,73474,58872,56557,67666,86004540300,76101489600,1105255600,602503500,4479465600,196524100,1423160800,2096141100,72485938500,5610202000
ACSSF,2014e1,or,000,0077,0000003,286350,15035,15052,15101,14643,14160,14280,14530,15519,13868,24667,31779,40283,23109,11536,11622,11166,271727,14166,13857,14115,13821,13411,13435,14053,14229,13219,23422,30734,38170,22109,10758,11399,10829,,,,,,,,,,,,,,,,,,4204,366,450,162,208,196,247,188,234,199,582,539,285,227,229,54,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4930,331,636,409,229,335,110,152,280,343,339,281,979,143,278,16,69,263775,13847,13559,13333,13720,12532,12792,13753,13624,12820,22996,30367,36882,21741,10296,10995,10518,11647,370,338,1178,513,1086,928,426,1140,399,740,631,1812,808,509,458,311,54274,54872,44282,45792,90747,,43355,44482,55096,44261,54274,24552,59005,72253,81040,70687,73543,83292,20268244300,19402097500,36319700,219614400,156477300,,181553700,268736600,18870352800,731877700
ACSSF,2014e1,or,000,0077,0000004,1495767,108433,79819,85384,76145,78682,79587,77360,74177,66596,122666,154411,186177,120299,63329,64354,58348,1321130,88788,69895,72119,67358,66598,69319,69464,66731,58461,109035,139087,166089,109397,57505,58111,53173,23597,5532,1475,1609,1417,1474,1108,1076,1155,1082,1863,892,2381,646,512,701,674,14782,1439,763,1395,1039,1296,680,358,749,810,1575,1749,1352,256,605,497,219,52096,4991,1374,1994,1984,2426,2396,1574,1200,1708,3583,5101,7023,6974,2848,3408,3512,,,,,,,,,,,,,,,,,,35146,1870,1572,4384,1907,3343,3257,2529,2621,1835,3426,2741,3855,941,439,335,91,44246,4771,3938,3683,2440,3047,2565,1924,1721,2663,3082,4517,4971,1722,1296,1227,679,1245073,83737,65300,66670,61513,60551,63566,64646,62281,52752,102736,133741,158127,105225,55885,56837,51506,120893,7927,6167,10673,8402,9974,9991,7883,7400,8426,10218,9803,12714,5152,2210,1791,2162,51368,52251,30920,41876,67573,26987,37441,38866,53448,39596,51368,26548,59462,67310,75684,60720,57448,74267,104159229600,93497460000,1141173200,775033000,4627237900,199969100,1579132300,2339224100,89457528400,6208480900
ACSSF,2014e1,or,000,0077,0000005,1276155,88891,65010,66938,62594,64718,67473,65600,62200,55924,103142,134076,161793,108132,56525,59060,54079,1120224,71811,56298,55087,54428,53840,58193,58461,55808,48452,91373,120999,143634,98114,51539,52942,49245,22801,5059,1475,1609,1334,1474,1041,1076,1155,1082,1780,859,2363,646,512,662,674,11201,915,426,1204,937,1227,479,150,601,638,948,1226,1250,71,422,488,219,50303,4991,1241,1962,1975,2220,2326,1574,1200,1696,3513,4818,6950,6660,2587,3331,3259,,,,,,,,,,,,,,,,,,29603,1405,1407,3645,1806,2738,2962,2322,2240,1781,2880,2046,2943,620,382,335,91,37461,3684,3380,3231,2114,2721,2210,1701,1196,2238,2600,3804,4147,1658,959,1227,591,1056239,68022,53161,50974,49265,48485,53320,54392,52182,43649,85822,116346,136760,94457,50049,51731,47624,101722,6117,4544,8382,7579,8677,8442,6813,6013,7520,8798,8096,10619,4316,2023,1728,2055,53109,54690,31550,41485,67058,26585,36972,38383,55895,40251,53109,27582,61403,69850,78323,62189,58071,73086,91928053100,82296327900,1121679700,609467900,4379530300,192496000,1312563300,2015988000,78748265100,5376262900
ACSSF,2014e1,or,000,0077,0000006,583569,47176,30636,32402,30373,30800,29906,29512,29435,23836,44270,59528,72434,49454,24595,24817,24395,492971,35048,25087,24930,25052,25043,24478,25136,26195,19889,38033,51502,61107,44262,22091,22688,22430,16132,3799,1146,1225,989,823,640,951,639,1036,977,669,1620,448,467,533,170,4804,606,126,477,697,285,328,31,279,336,317,704,405,0,25,38,150,29535,3450,1046,1499,1724,1402,1324,1150,583,779,1920,3430,4798,3247,1114,882,1187,,,,,,,,,,,,,,,,,,15099,816,939,1801,624,1620,1779,860,1128,436,1618,818,1864,414,117,185,80,21424,2665,1673,2270,1287,1273,1236,1068,611,1339,1405,2081,2196,794,657,491,378,463297,33212,22963,22891,22369,23139,21964,23694,24332,17803,36139,49189,57677,42640,21480,21906,21899,49528,3352,3102,4241,3753,3864,4656,2623,3138,3208,3511,4095,5191,2096,776,1060,862,51363,53459,30444,31891,59353,26349,34936,35929,55029,38094,51363,28228,61741,70638,73155,61588,55914,51387,40947016300,35780443900,740943700,231597500,2234667000,150449600,681744200,1127170300,34181635800,2586405400
ACSSF,2014e1,or,000,0077,0000007,692586,41715,34374,34536,32221,33918,37567,36088,32765,32088,58872,74548,89359,58678,31930,34243,29684,627253,36763,31211,30157,29376,28797,33715,33325,29613,28563,53340,69497,82527,53852,29448,30254,26815,,,,,,,,,,,,,,,,,,6397,309,300,727,240,942,151,119,322,302,631,522,845,71,397,450,69,20768,1541,195,463,251,818,1002,424,617,917,1593,1388,2152,3413,1473,2449,2072,,,,,,,,,,,,,,,,,,14504,589,468,1844,1182,1118,1183,1462,1112,1345,1262,1228,1079,206,265,150,11,16037,1019,1707,961,827,1448,974,633,585,899,1195,1723,1951,864,302,736,213,592942,34810,30198,28083,26896,25346,31356,30698,27850,25846,49683,67157,79083,51817,28569,29825,25725,52194,2765,1442,4141,3826,4813,3786,4190,2875,4312,5287,4001,5428,2220,1247,668,1193,54634,55416,34404,46547,89818,27717,38200,42422,56577,41923,54634,27135,61097,68946,81059,62845,62293,84500,50981036700,46515884000,380735900,377870400,2144863300,42046400,630819100,888817700,44566629300,2789857500
ACSSF,2014e1,or,000,0077,0000008,219612,19542,14809,18446,13551,13964,12114,11760,11977,10672,19524,20335,24384,12167,6804,5294,4269,200906,16977,13597,17032,12930,12758,11126,11003,10923,10009,17662,18088,22455,11283,5966,5169,3928,,,,,,,,,,,,,,,,,,3581,524,337,191,102,69,201,208,148,172,627,523,102,185,183,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5543,465,165,739,101,605,295,207,381,54,546,695,912,321,57,0,0,6785,1087,558,452,326,326,355,223,525,425,482,713,824,64,337,0,88,188834,15715,12139,15696,12248,12066,10246,10254,10099,9103,16914,17395,21367,10768,5836,5106,3882,19171,1810,1623,2291,823,1297,1549,1070,1387,906,1420,1707,2095,836,187,63,107,42307,42188,,45273,102795,36450,43220,41530,42942,35578,42307,20844,49796,54212,60347,52532,51017,76153,12231176600,11201132100,19493500,165565100,247707600,7473100,266569000,323236100,10709263300,832218000
ACSSF,2014e1,or,000,0077,0000009,69542,8259,5328,5887,3732,5518,4399,4193,3264,3053,5832,5948,6468,2849,2187,1847,778,63090,7042,4831,5257,3562,5151,3942,3770,3156,2723,5301,5091,5927,2849,2059,1731,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59386,6388,4195,4911,3509,4772,3761,3721,2927,2493,5058,4837,5750,2622,2059,1731,652,6345,1003,717,909,93,572,577,256,229,230,294,641,551,227,0,0,46,36515,36872,,53521,,36050,26133,32296,37294,28691,36515,21406,44617,51585,65421,42668,61680,58767,3438083300,3144465500,17370200,29662000,70271800,,72159200,99594200,3004673100,237952400
ACSSF,2014e1,or,000,0077,0000010,150070,11283,9481,12559,9819,8446,7715,7567,8713,7619,13692,14387,17916,9318,4617,3447,3491,137816,9935,8766,11775,9368,7607,7184,7233,7767,7286,12361,12997,16528,8434,3907,3438,3230,,,,,,,,,,,,,,,,,,2941,461,311,191,62,69,140,208,148,115,410,347,102,185,183,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4277,617,287,417,257,199,48,126,417,164,350,301,657,64,285,0,88,129448,9327,7944,10785,8739,7294,6485,6533,7172,6610,11856,12558,15617,8146,3777,3375,3230,12826,807,906,1382,730,725,972,814,1158,676,1126,1066,1544,609,187,63,61,44706,44553,2499,40599,103976,,51727,43149,45322,40335,44706,20571,51464,56025,59345,59070,45704,77222,8793093300,8056666600,,135903100,177435800,,194409800,223641900,7704590200,594265600
